id,kategooria,alamteema,lahendusvotted
2004-lahg-01,dünaamika,liikumine nööri abil,"Kasutage Newtoni teise seaduse võrrandite süsteemi, et leida kiirus ja kiirendus."
2004-lahg-02,taevamehaanika,Päikese loojumine,"Kasutage geomeetrilisi suhteid ja väikeste nurkade lähendusi, et arvutada Maa raadius."
2004-lahg-03,geomeetriline optika,valguse murdumine,"Kasutage murdumisseadust ja väikeste nurkade lähendust, et leida veetaseme kõrgus."
2004-lahg-04,kinemaatika,auto liikumine,"Kasutage liikumise võrrandeid ja suhteid, et leida auto kujutise nihke ja teravuse seoseid."
2004-lahg-05,vedelike mehaanika,pindpinevus,"Kasutage tasakaalu tingimust, et võrrelda rõhku büreti alumises osas ja atmosfäärirõhku, arvestades veesamba rõhku ja pindpinevuse mõju."
2004-lahg-06,termodünaamika,aurustamine ja kondenseerumine,Kasutage energia jäävuse seadust ja graafikut küllastunud auru tiheduse leidmiseks.
2004-lahg-07,elektrostaatika,resultantväljatugevus,"Liida individuaalsete laengute tekitatud elektriväljad vektoriaalselt, arvestades sümmeetriat."
2004-lahg-10,staatika,pinged traadis,"Kasutame mehaanilise tasakaalu ja jõumomentide tasakaalu tingimusi, et leida pinge traadis."
2004-v3g-01,dünaamika,tagasilöök,Kasutada impulsi jäävuse seadust ja energia jäävuse seadust.
2004-v3g-02,dünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et leida lõppkiirus, arvestades algkiirus, kõrgus ja takistusjõud."
2004-v3g-03,elektriahelad,kaitsmed,"Kasutage Ohmi seadust ja kaitsmete maksimaalseid vooluväärtusi, et leida koguvoolu ja kaitsmete tööpiirid."
2004-v3g-04,dünaamika,kiirus ja hõõrdumine,"Kasutage jõudude tasakaalu ja pöördemomendi seadust, et leida kiirus ja hõõrdetegur."
2004-v3g-05,taevamehaanika,Maa pööramine,"Kasutada geomeetrilisi ja trigonomeetrilisi meetodeid, et leida nurkade vahe ja ajavahemik."
2004-v3g-06,termodünaamika,jää sulamine,"Kasutage jää sulamissoojuse ja energia tasakaalu seadust, et leida jää mass."
2004-v3g-07,geomeetriline optika,laserkiire murdumine,"Kasutage Snelli seadust ja täieliku sisepeegelduse tingimusi, et leida maksimaalsed kaugused ja nurkad."
2004-v3g-08,dünaamika,pöörlemine,"Kasutage jõudude tasakaalu ja pöörlemise seadusi, et leida nööbi B kaugus pöörlemiskeskmest ja mass."
2004-v3g-09,geomeetriline optika,peegeldumine ja interferents,Kasutage peeglite kujutiste leidmiseks geomeetrilisi konstruktsioone ja superpositsiooni põhimõtet.
2004-v3g-10,elektrostaatika,elektriväli ja jõud,Kasutage Coulombi seadust ja matemaatilise pendli perioodi valemit.
2005-lahg-01,vedelike mehaanika,vedeliku tase,"Kasutage rõhu ja vedeliku taseme seoseid, et leida kõrguse muutus, arvestades ühendatud anumate pindala."
2005-lahg-02,dünaamika,hõõrdetegur,"Kasutage energia säilitamise seadust ja jõudude tasakaalu, et leida minimaalne hõõrdetegur."
2005-lahg-03,staatika,kuuli tasakaal,"Kasutage jõudude tasakaalu ja geomeetrilisi suhteid kolmnurgas, et leida kaldenurk, mille juures kuul kukub august välja."
2005-lahg-04,elektrostaatika,laetud kuulikeste tasakaal,"Kasutage sümmeetria ja jõudude tasakaalu seadust, et leida niitide pinged."
2005-lahg-05,elektrostaatika,lekkevoolu tihedus,"Kasutage Gaussi seadust, et leida lekkevoolu tihedus valitud silindrilise kontuuri kaudu."
2005-lahg-06,dünaamika,minimaalne kiirus,Kasutage energia jäävuse seadust ja kesktõmbe kiirenduse tasakaalu.
2005-lahg-07,dünaamika,impulsi jäävuse seadus,"Kasutage impulsi jäävuse seadust, et seostada anuma ja põrnika kiirus."
2005-lahg-08,vedelike mehaanika,kokkusurutavus,"Kasutage kokkusurutavuse seost ja keskmise rõhu arvutamist, et leida tiheduse muutus ja sügavuste vahe."
2005-lahg-10,geomeetriline optika,sfääriline lääts,"Kasutage õhukese läätse valemit ja väikeste nurkade lähendust, et leida fookuskaugus ja kujutise kaugus."
2005-v2g-01,kinemaatika,möödasõit,Kasutage ühtlase kiirenduse valemit ja võrrelge sõiduauto ja veoauto läbitud vahemaid.
2005-v2g-02,staatika,libisemine,"Kasutage tasakaaluvõrrandeid, et leida suhe lumekihi ja katuse vahel."
2005-v2g-03,termodünaamika,soojusbilanss,"Kasutage soojusbilansi võrrandit, et leida jahutusvee keskmine temperatuur."
2005-v2g-04,elektriahelad,takistuse arvutamine,"Kasutage Kirchhoffi seadusi ja Ohmi seadust, et tuletada takistuse avaldis mõõdetud pingete ja voolude põhjal."
2005-v2g-05,geomeetriline optika,läätse süsteemid,"Kasutage kahte läätse, et fookused ühtida ja rakendage geomeetrilisi suhteid kiirte kimbu diameetri arvutamiseks."
2005-v2g-06,dünaamika,aerud ja takistusjõud,"Kasutada jõumomentide tasakaalu ja jõudude tasakaalu võrrandeid, et leida keskmine kiirus ja võimsus."
2005-v2g-07,vedelike mehaanika,veejuga,"Kasutage energia jäävuse seadust ja impulsi määratlemist, et leida veejuga jõud."
2005-v2g-08,termodünaamika,ideaalsed soojusmasinad,Kasutage ideaalse soojusmasina efektiivsuse valemit ja energia jäävuse seadust.
2005-v3g-01,dünaamika,vaba langemine,"Kasutage vabalt langeva taustsüsteemi ja energia jäävuse seadust, et leida maksimaalne viivitusaeg."
2005-v3g-03,termodünaamika,siseenergia muut,"Kasutada termodünaamika I seadust, et leida siseenergia muutus, arvestades soojushulka ja välisjõudude vastu tehtud tööd."
2005-v3g-04,elektriahelad,dioodide polaarsus,Kasutage dioodide omadusi ja koostage ekvivalentsed skeemid mõlema polaarsuse jaoks.
2005-v3g-05,vedelike mehaanika,veejuga,"Kasutage energia jäävuse seadust või impulsi jäävuse seadust, et leida veejoa väljumiskiirus ja seeläbi tünni ning aluse kõrgused."
2005-v3g-06,kinemaatika,laine levik,"Kasutage geomeetrilise optika seadusi, et leida laine murdumisnurk ja suunata laine levikut."
2005-v3g-07,dünaamika,mullikeste liikumine,"Võrdle takistus- ja üleslükkejõudu, et leida mullikeste kiirus ja vahemaa nende vahel."
2005-v3g-08,elektrostaatika,kondensaatorite jadaühendus,"Kasutage kondensaatorite kogumahtuvuse valemit ja arvutage elektrivälja tugevus, et leida osakese kiirus ja trajektoor."
2005-v3g-09,taevamehaanika,kosmosejaama kõrgus,"Kombineeri kesktõmbekiirus ja gravitatsioonijõud, et leida kosmosejaama kõrgus maapinnast."
2005-v3g-10,staatika,tasakaal ja jõumoment,Kasutage jõumomentide tasakaalu tingimust ja analüüsige jõudude suundi ja rakendusi.
2006-lahg-01,gaasid,ideaalsed gaasid,"Kasutada Boyle-Mariotte’i seadust, et leida rõhk pärast pumpamiskäike."
2006-lahg-02,elektriahelad,kondensaatorite laengud,"Kasutage kondensaatorite pingete ja laengute seoseid, et leida laengud $q_2$ ja $q_3$ pärast laadimist."
2006-lahg-03,dünaamika,vertikaalne liikumine,"Kasutage liikumisvõrrandit ja ruutvõrrandi lahendamist, et leida algkiirus ja aeg."
2006-lahg-04,dünaamika,ringliikumine,Kasutage Newtoni seadusi ja kesktõmbejõu valemit kivi liikumise analüüsimiseks.
2006-lahg-05,dünaamika,masskese liikumine,"Kasutage Newtoni teise seadust ja massikeskme koordinaatide seoseid, et leida kiirus ja suund."
2006-lahg-06,geomeetriline optika,valguse murdumine,"Kasutage murdumisseadust ja väikeste nurkade lähendust, et leida valguslaiku nihke."
