nr,fail,laius,pealdis
2,1997-v2g-pe1-yl.png,0.36,
44,2002-v3g-pe1-yl.png,0.30,
62,2013-v3g-pe1-yl.png,0.25,
104,2011-v3g-ge2-yl.png,0.55,
107,2013-v3g-ge1-yl.png,0.30,
121,2020-v3g-pe2-yl.png,0.40,
126,1996-v3g-ge2-yl.png,0.55,
145,2014-v3g-pe2-yl.png,0.25,
146,2014-v3g-ge1-yl.png,0.22,
148,2017-v3g-pe2-yl.png,0.20,
154,2019-v3g-ge2-yl.png,0.28,
159,2022-v3g-ge1-yl.png,0.45,
170,2012-v3g-ge1-yl.png,0.28,
173,2017-v2g-ge2-yl.png,0.55,
175,2018-v2g-ge2-yl.png,0.30,
179,2021-v3g-ge2-yl.png,0.75,"Pildi autoriõigused: Zephyris, CC BY-SA 3.0, via Wikimedia Commons."
